Region,Brand,Category,YearMonth,ActualUnits,PredUnits
Asia-Pacific,Acer,All-in-One,2025-05-01,4.0,3.0749999999999993
Asia-Pacific,Acer,All-in-One,2025-06-01,6.0,2.595
Asia-Pacific,Acer,All-in-One,2025-07-01,2.0,3.475
Asia-Pacific,Acer,All-in-One,2025-08-01,4.0,3.4675
Asia-Pacific,Acer,All-in-One,2025-09-01,8.0,4.0325
Asia-Pacific,Acer,All-in-One,2025-10-01,2.0,4.4825
Asia-Pacific,Acer,Desktop,2025-05-01,3.0,3.12
Asia-Pacific,Acer,Desktop,2025-06-01,2.0,3.22
Asia-Pacific,Acer,Desktop,2025-08-01,3.0,3.05
Asia-Pacific,Acer,Desktop,2025-10-01,2.0,3.8986666666666667
Asia-Pacific,Acer,Gaming Laptop,2025-05-01,1.0,3.7575
Asia-Pacific,Acer,Gaming Laptop,2025-06-01,2.0,3.2256666666666667
Asia-Pacific,Acer,Gaming Laptop,2025-07-01,1.0,3.6391666666666667
Asia-Pacific,Acer,Gaming Laptop,2025-09-01,3.0,3.09625
Asia-Pacific,Acer,Laptop,2025-05-01,2.0,2.9075
Asia-Pacific,Acer,Laptop,2025-06-01,3.0,3.7425
Asia-Pacific,Acer,Laptop,2025-07-01,2.0,3.851666666666667
Asia-Pacific,Acer,Laptop,2025-09-01,4.0,3.84125
Asia-Pacific,Apple,All-in-One,2025-06-01,7.0,4.1125
Asia-Pacific,Apple,All-in-One,2025-08-01,2.0,2.6825
Asia-Pacific,Apple,All-in-One,2025-09-01,2.0,3.79
Asia-Pacific,Apple,All-in-One,2025-10-01,1.0,3.31
Asia-Pacific,Apple,Desktop,2025-05-01,5.0,3.2975
Asia-Pacific,Apple,Desktop,2025-06-01,1.0,3.31
Asia-Pacific,Apple,Desktop,2025-07-01,2.0,2.955
Asia-Pacific,Apple,Desktop,2025-08-01,1.0,4.355
Asia-Pacific,Apple,Gaming Laptop,2025-05-01,6.0,3.61
Asia-Pacific,Apple,Gaming Laptop,2025-06-01,2.0,3.03
Asia-Pacific,Apple,Gaming Laptop,2025-08-01,2.0,3.793333333333334
Asia-Pacific,Apple,Gaming Laptop,2025-09-01,1.0,3.495
Asia-Pacific,Apple,Gaming Laptop,2025-10-01,4.0,3.165833333333333
Asia-Pacific,Apple,Laptop,2025-06-01,3.0,3.1375
Asia-Pacific,Apple,Laptop,2025-07-01,3.0,4.0125
Asia-Pacific,Apple,Laptop,2025-08-01,3.0,3.765
Asia-Pacific,Asus,All-in-One,2025-05-01,1.0,2.795
Asia-Pacific,Asus,All-in-One,2025-06-01,3.0,4.36
Asia-Pacific,Asus,All-in-One,2025-10-01,1.0,3.26875
Asia-Pacific,Asus,Desktop,2025-06-01,1.0,4.425
Asia-Pacific,Asus,Desktop,2025-08-01,3.0,2.982291666666667
Asia-Pacific,Asus,Desktop,2025-09-01,9.0,3.5425
Asia-Pacific,Asus,Gaming Laptop,2025-06-01,3.0,6.40625
Asia-Pacific,Asus,Gaming Laptop,2025-07-01,1.0,2.9641666666666664
Asia-Pacific,Asus,Gaming Laptop,2025-08-01,3.0,3.6433333333333335
Asia-Pacific,Asus,Gaming Laptop,2025-10-01,1.0,3.4019999999999997
Asia-Pacific,Asus,Laptop,2025-05-01,5.0,3.842916666666667
Asia-Pacific,Asus,Laptop,2025-06-01,1.0,3.2275
Asia-Pacific,Asus,Laptop,2025-08-01,2.0,3.49
Asia-Pacific,Asus,Laptop,2025-10-01,2.0,3.76
Asia-Pacific,Dell,All-in-One,2025-05-01,9.0,4.0
Asia-Pacific,Dell,All-in-One,2025-06-01,2.0,3.0875
Asia-Pacific,Dell,All-in-One,2025-07-01,3.0,3.648333333333333
Asia-Pacific,Dell,All-in-One,2025-08-01,1.0,4.4275
Asia-Pacific,Dell,Desktop,2025-05-01,2.0,2.615
Asia-Pacific,Dell,Desktop,2025-06-01,3.0,2.8375
